YearLow|OneyrTargetPrice|DividendShare|ChangeFromFiftydayMovingAverage|FiftydayMovingAverage|SharesOwned|PercentChangeFromTwoHundreddayMovingAverage|PricePaid|DaysLow|DividendYield|Commission|EPSEstimateNextQuarter|ChangeFromYearLow|ChangeFromYearHigh|EarningsShare|AverageDailyVolume|LastTradePriceOnly|YearHigh|EBITDA|Change_PercentChange|AnnualizedGain|ShortRatio|LastTradeDate|PriceSales|EPSEstimateCurrentYear|BookValue|u|Bid|AskRealtime|PreviousClose|DaysRangeRealtime|EPSEstimateNextYear|Volume|HoldingsGainPercent|PercentChange|TickerTrend|Ask|ChangeRealtime|PriceEPSEstimateNextYear|HoldingsGain|Change|MarketCapitalization|Name|HoldingsValue|DaysRange|AfterHoursChangeRealtime|symbol|ChangePercentRealtime|DaysValueChange|LastTradeTime|StockExchange|DividendPayDate|LastTradeRealtimeWithTime|Notes|MarketCapRealtime|ExDividendDate|PERatio|DaysValueChangeRealtime|ErrorIndicationreturnedforsymbolchangedinvalid|ChangeinPercent|HoldingsValueRealtime|PercentChangeFromFiftydayMovingAverage|PriceBook|ChangeFromTwoHundreddayMovingAverage|DaysHigh|PercentChangeFromYearLow|TradeDate|LastTradeWithTime|BidRealtime|YearRange|HighLimit|OrderBookRealtime|HoldingsGainRealtime|PEGRatio|Currency|LowLimit|HoldingsGainPercentRealtime|TwoHundreddayMovingAverage|PERatioRealtime|PercebtChangeFromYearHigh|Open|PriceEPSEstimateCurrentYear|MoreInfo
17.31|52.20|None|-4.88|36.37|None|-7.38%|None|31.20|None|None|-0.43|14.18|-8.41|0.03|315848|31.49|39.90|3.06M|-0.07 - -0.22%|None|5.90|8/14/2015|10.60|0.00|7.03|2015-08-14 13:52:00 UTC+0000|31.41|None|31.56|None|-2.29|19548|None|-0.22%|None|31.50|None|None|None|-0.07|1.08B|MacroGenics, Inc.|None|31.20 - 31.99|None|MGNX|None|None|9:52am|NMS|None|None|None|None|None|1124.64|None|None|-0.22%|None|-13.42%|4.49|-2.51|31.99|+81.92%|None|9:52am - <b>31.49</b>|None|17.31 - 39.90|None|None|None|0.00|USD|None|None|34.00|None|-21.08%|31.60|None|None
28.10|55.36|0.40|1.64|41.11|None|-7.34%|None|42.35|0.90|None|1.83|14.65|-13.45|5.79|12730500|42.75|56.20|7.99B|+0.08 - +0.19%|None|2.20|8/14/2015|0.68|8.77|5.36|2015-08-14 13:53:00 UTC+0000|42.73|None|42.67|None|6.57|544391|None|+0.19%|None|42.74|None|6.51|None|+0.08|28.72B|American Airlines Group, Inc.|None|42.35 - 42.87|None|AAL|None|None|9:53am|NMS|8/24/2015|None|None|None|8/6/2015|7.38|None|None|+0.19%|None|+3.99%|7.96|-3.39|42.87|+52.14%|None|9:53am - <b>42.75</b>|None|28.10 - 56.20|None|None|None|0.33|USD|None|None|46.14|None|-23.93%|42.35|4.86|None
8.17|25.83|None|3.54|18.94|None|+48.12%|None|22.38|None|None|0.42|14.31|-0.31|0.48|374755|22.48|22.79|15.57M|-0.03 - -0.13%|None|7.70|8/14/2015|2.23|1.22|8.15|2015-08-14 13:53:00 UTC+0000|22.48|None|22.51|None|1.62|9505|None|-0.13%|None|22.57|None|13.88|None|-0.03|339.94M|Applied Optoelectronics, Inc.|None|22.38 - 22.76|None|AAOI|None|None|9:53am|NGM|None|None|None|None|None|46.64|None|None|-0.13%|None|+18.67%|2.76|7.30|22.76|+175.15%|None|9:53am - <b>22.48</b>|None|8.17 - 22.79|None|None|None|1.03|USD|None|None|15.18|None|-1.36%|22.38|18.43|None
128.20|174.67|0.24|20.51|168.69|None|+20.65%|None|187.05|0.10|None|1.53|61.00|-3.07|6.70|1172830|189.20|192.27|1.26B|+1.41 - +0.75%|None|3.70|8/14/2015|1.39|8.26|29.36|2015-08-14 13:53:00 UTC+0000|189.02|None|187.79|None|9.59|109724|None|+0.75%|None|189.39|None|19.73|None|+1.41|13.83B|Advance Auto Parts Inc Advance|None|187.05 - 190.13|None|AAP|None|None|9:53am|NYQ|7/2/2015|None|None|None|6/17/2015|28.23|None|None|+0.75%|None|+12.16%|6.40|32.38|190.13|+47.58%|None|9:53am - <b>189.20</b>|None|128.20 - 192.27|None|None|None|1.73|USD|None|None|156.82|None|-1.60%|188.49|22.91|None
95.18|146.88|2.08|-7.75|122.98|None|-8.28%|None|114.01|1.80|None|3.19|20.05|-19.31|8.65|48786500|115.23|134.54|77.88B|+0.08 - +0.07%|None|1.30|8/14/2015|2.93|9.13|22.03|2015-08-14 13:53:00 UTC+0000|115.24|None|115.15|None|9.78|6540404|None|+0.07%|None|115.26|None|11.78|None|+0.08|657.12B|Apple Inc.|None|114.01 - 115.37|None|AAPL|None|None|9:53am|NMS|8/13/2015|None|None|None|8/6/2015|13.33|None|None|+0.07%|None|-6.30%|5.23|-10.40|115.37|+21.07%|None|9:53am - <b>115.23</b>|None|95.18 - 134.54|None|None|None|0.90|USD|None|None|125.63|None|-14.35%|114.19|12.62|None
32.84|47.00|0.93|0.59|40.71|None|-0.10%|None|41.05|2.30|None|0.43|8.46|-3.79|0.69|227967|41.30|45.09|152.16M|-0.12 - -0.29%|None|2.70|8/14/2015|7.09|1.75|17.38|2015-08-14 13:52:00 UTC+0000|41.04|None|41.42|None|1.89|4242|None|-0.29%|None|41.16|None|21.85|None|-0.12|1.85B|American Assets Trust, Inc. Com|None|41.05 - 41.30|None|AAT|None|None|9:52am|NYQ|9/25/2015|None|None|None|6/10/2015|59.51|None|None|-0.29%|None|+1.45%|2.38|-0.04|41.30|+25.76%|None|9:52am - <b>41.30</b>|None|32.84 - 45.09|None|None|None|5.32|USD|None|None|41.34|None|-8.41%|41.26|23.60|None
31.25|57.40|None|-6.13|50.87|None|-9.99%|None|44.46|None|None|1.51|13.49|-14.73|5.05|605367|44.74|59.47|390.72M|-0.04 - -0.09%|None|5.50|8/14/2015|0.60|4.97|60.49|2015-08-14 13:50:00 UTC+0000|44.79|None|44.78|None|5.02|13299|None|-0.09%|None|44.92|None|8.91|None|-0.04|1.12B|Atlas Air Worldwide Holdings|None|44.46 - 44.89|None|AAWW|None|None|9:50am|NMS|None|None|None|None|None|8.85|None|None|-0.09%|None|-12.05%|0.74|-4.97|44.89|+43.17%|None|9:50am - <b>44.74</b>|None|31.25 - 59.47|None|None|None|1.61|USD|None|None|49.71|None|-24.77%|44.69|9.00|None
45.260|63.570|0.440|-2.811|51.226|None|-14.991%|None|47.710|0.900|None|0.330|3.155|-18.475|1.292|170022|48.415|66.890|43.83M|+0.505 - +1.054%|None|18.600|8/14/2015|5.143|1.260|9.913|2015-08-14 13:52:00 UTC+0000|48.310|None|47.910|None|1.540|18663|None|+1.054%|None|48.550|None|31.438|None|+0.505|1.10B|ABAXIS, Inc.|None|47.710 - 48.550|None|ABAX|None|None|9:52am|NMS|9/17/2015|None|None|None|6/2/2015|37.473|None|None|+1.054%|None|-5.487%|4.833|-8.538|48.550|+6.971%|None|9:52am - <b>48.415</b>|None|45.260 - 66.890|None|None|None|1.940|USD|None|None|56.953|None|-27.620%|47.710|38.425|None
52.060|76.470|2.040|0.100|69.335|None|+8.214%|None|68.460|3.000|None|1.170|17.375|-2.165|1.286|9513210|69.435|71.600|7.83B|+0.895 - +1.306%|None|5.300|8/14/2015|5.406|4.260|3.325|2015-08-14 13:53:00 UTC+0000|69.370|None|68.540|None|5.020|784396|None|+1.306%|None|69.390|None|13.832|None|+0.895|114.93B|AbbVie Inc. Common Stock|None|68.460 - 69.440|None|ABBV|None|None|9:53am|NYQ|8/14/2015|None|None|None|7/13/2015|53.993|None|None|+1.306%|None|+0.145%|20.614|5.270|69.440|+33.375%|None|9:53am - <b>69.435</b>|None|52.060 - 71.600|None|None|None|0.940|USD|None|None|64.165|None|-3.024%|68.560|16.299|None
74.32|119.65|1.16|-4.05|108.10|None|-4.23%|None|103.41|1.10|None|1.27|29.73|-16.63|-1.95|1911480|104.05|120.68|1.54B|+0.17 - +0.16%|None|3.00|8/14/2015|0.17|4.97|7.28|2015-08-14 13:52:00 UTC+0000|103.77|None|103.88|None|5.58|81611|None|+0.16%|None|103.86|None|18.65|None|+0.17|22.50B|AmerisourceBergen Corporation C|None|103.41 - 104.18|None|ABC|None|None|9:52am|NYQ|9/1/2015|None|None|None|8/13/2015|None|None|None|+0.16%|None|-3.74%|14.28|-4.60|104.18|+40.00%|None|9:52am - <b>104.05</b>|None|74.32 - 120.68|None|None|None|1.27|USD|None|None|108.65|None|-13.78%|103.98|20.94|None
